geko_category_id,name,path,parent_geko_category_id
105498,Wood Drills,Cutting Tools\Drilling\Wood Drills,
108551,Hex Chisels,Cutting Tools\Drilling\Drills and Impact Chisels\Hex Chisels,
105512,The Other,Cutting Tools\The Other,
112530,Akcesoria,Construction and Renovation\Tile Cutting Tools and Accessories\Akcesoria,
112577,Optyka,Tools for The Workshop and Garage\Service Equipment\Optyka,
108376,Electric Heaters,Household Items\Electric Heaters,
108344,Wheel Sets,Tools for The Workshop and Garage\Wheel Sets,
110317,Ladders,Construction and Renovation\Ladders,
108506,Zippers,Tools for The Workshop and Garage\Consumables\Zippers,
108636,Stoneware Grinding Discs,Abrasive Materials\Stoneware Grinding Discs,
112529,Akcesoria do kominów,Construction and Renovation\Akcesoria do kominów,
109132,Other,Household Items\Other,
109752,GSM Accessories,Household Items\GSM Accessories,
109382,Electrical Quick Connectors,Tools for Electricians\Electrical Quick Connectors,
109370,Wedges,Garden\Trimming and Cutting\Axes\Wedges,
107806,Diamond Tools,Cutting Tools\Diamond Tools,
109632,Seeders,Garden\Seeders,
109791,Files,Cutting Tools\Files,
109845,Rollers,"Construction and Renovation\Brushes, Rollers, Accessories\Rollers",
110071,Lighting,Garden\Lighting,
110245,Brushes for A Burnishing Machine,Abrasive Materials\Brushes for A Burnishing Machine,
109846,Grills and Accessories,Garden\Grills and Accessories,
109773,Painting Accessories,Construction and Renovation\Painting Accessories,
110347,Clamps and Handles,Construction and Renovation\Clamps and Handles,
107878,Pneumatic Tools,Tools for The Workshop and Garage\Pneumatic Tools,
100017,Service Parts,Service Parts,
105332,Transport Lines,Joining Tools\Transport Lines,
110729,Akcesoria rowerowe,Tourist Equipment and Accessories\Akcesoria rowerowe,
112558,Oświetlenie robocze,Construction and Renovation\Oświetlenie robocze,
110869,Piły ukosowe,Spare Parts\Piły ukosowe,
112601,Kaski,Health and Safety Articles\Kaski,
112778,Betoniarki,Construction and Renovation\Betoniarki,
112779,Betoniarki,Spare Parts\Betoniarki,
107888,Garden Saws,Garden\Trimming and Cutting\Garden Saws,
112602,Wagi,Measuring Tools\Wagi,
107731,Tow Ropes,Tools for The Workshop and Garage\Tow Ropes,
105632,Health and Safety Articles,Health and Safety Articles,
107901,Battery Testers,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Battery Maintenance Tools\Battery Testers,
112676,Bity i akcesoria,Power Tools\Screwdrivers and Impact Wrenches\Bity i akcesoria,
112677,Otwornice diamentowe,Cutting Tools\Drilling\Hole Saws for Drilling\Otwornice diamentowe,
112318,Części zamienne do przetwornic napięcia,Spare Parts\Części zamienne do przetwornic napięcia,
112777,Małe narzędzia ogrodnicze,Garden\Małe narzędzia ogrodnicze,
