productid,ean
1290,5901477104725
1326,5901477114380
1291,5901477178931
1292,5901477104749
1293,5901477104756
1297,5901477104800
1298,5901477104817
1948,5901477116360
1299,5901477104824
1300,5901477104831
1301,5901477104848
1302,5901477104411
1303,5901477104428
1304,5901477104435
6848,5901477155611
1305,5901477106613
1306,5901477106637
1309,5901477113673
1310,5901477106651
1311,5901477106668
1312,5901477113680
1314,5901477113697
1317,5901477106705
1318,5901477128004
1319,5901477106712
1322,5901477139321
1325,5901477106774
1327,5901477104930
1328,5901477104947
1329,5901477104954
1334,5901477104961
1335,5901477104978
1336,5901477104985
1337,5901477115165
1338,5901477120947
1339,5901477120794
3078,5901477133831
1340,5901477120800
1341,5901477104992
1342,5901477105005
1343,5901477105012
1344,5901477118432
1345,5901477118449
1346,5901477118456
1347,5901477100536
1348,5901477100413
1349,5901477114922
1350,5901477120473
1351,5901477135019
1352,5901477100543
1949,5901477116353
1353,5901477100550
1354,5901477100567
1355,5901477100321
1356,5901477100369
1523,5901477106408
1357,5901477100376
1358,5901477100338
1359,5901477103957
1361,5901477104107
1362,5901477100420
1364,5901477100437
1365,5901477106279
1367,5901477105258
1368,5901477105265
1369,5901477105272
1370,5901477105289
1371,5901477105142
1372,5901477105159
1373,5901477105166
1374,5901477105210
1375,5901477127793
1376,5901477127809
1377,5901477139338
1378,5901477127816
1379,5901477132537
1380,5901477139345
1381,5901477139352
1382,5901477139369
1384,5901477116575
1385,5901477105241
1386,5901477105173
1387,5901477104022
1388,5901477105180
1389,5901477105227
1390,5901477127823
1392,5901477125539
1393,5901477104091
1395,5901477103971
1396,
1397,5901477103988
1398,5901477103995
1399,5901477104008
1400,5901477104015
1401,5901477115516
1402,5901477115509
1403,5901477113109
1951,5901477107764
1404,5901477116643
1405,5901477116612
1406,5901477116605
1409,5901477100444
1410,5901477100451
1952,5901477135026
1953,5901477135033
1411,5901477116629
1412,5901477105197
1413,5901477105203
1414,5901477106286
1415,5901477106293
1954,5901477135040
1955,5901477135057
1416,5901477129407
1419,5901477107368
1421,5901477114595
1422,5901477121739
1423,5901477121746
1424,5901477121753
1425,5901477114809
1956,5901477135064
1426,5901477104039
1428,5901477104046
1430,5901477104053
1432,5901477128356
1433,5901477114854
1435,5901477116179
1957,5901477135071
1436,5901477122620
1437,5901477128349
1438,5901477173141
1439,5901477122156
1440,5901477104060
1441,5901477104077
1442,5901477104084
1443,5901477122125
1444,5901477122149
1445,5901477103940
1446,
1447,5901477100482
1448,5901477100499
1958,5901477107276
1449,5901477100475
1450,5901477100383
1451,5901477100352
1452,5901477116193
1453,5901477100390
3079,5901477133848
1454,5901477100406
1455,5901477103919
1456,5901477100345
1457,5901477103926
1458,5901477100512
2589,5901477109829
1459,5901477100505
1460,5901477106415
1461,5901477100468
1462,5901477100529
1463,5901477119682
1464,5901477104121
1466,5901477104145
2590,5901477109836
1467,5901477115523
1468,5901477113208
1469,5901477119699
1470,5901477114076
1471,5901477104855
1474,5901477104862
1475,5901477127571
1476,5901477104879
1477,5901477127250
1478,5901477104886
1480,5901477104909
1481,5901477106309
3080,5901477133855
1482,5901477121586
1483,5901477120398
1484,5901477120404
1485,5901477120411
1486,5901477133657
1487,5901477106316
1488,5901477106323
1489,5901477128233
1490,5901477126154
1492,5901477122705
1493,5901477114786
1494,5901477114779
1495,5901477114793
6849,5901477155628
1496,5901477113963
1497,5901477113970
1498,5901477113956
1499,5901477125843
1500,5901477114014
1501,5901477114007
1502,5901477113987
1503,5901477113994
1504,5901477113918
2591,5901477109843
1524,5901477125874
1525,5901477125911
1526,5901477125867
1527,5901477125881
1530,5901477125904
6850,5901477155635
1531,5901477126345
1532,5901477161230
1536,5901477106231
1537,5901477106248
1538,5901477106255
1539,5901477106262
1540,5901477120039
2592,5901477109850
1543,5901477119781
1544,5901477119798
1546,5901477104275
1547,5901477122972
1548,5901477122989
1549,5901477113192
1550,5901477122033
2593,5901477109867
1552,5901477119491
1553,5901477119507
1554,5901477119514
1555,5901477119521
1557,5901477105609
2329,5901477108587
1558,5901477105616
1559,5901477105623
1560,5901477105630
1564,5901477105678
1569,5901477126260
2594,5901477109874
1570,5901477126277
1571,5901477126284
1572,5901477126291
1573,5901477126307
1575,5901477105692
2595,5901477109881
1576,5901477105708
1577,5901477105715
1578,5901477120824
1579,5901477120831
1580,5901477118470
3081,5901477133862
1581,5901477118326
1588,5901477120060
1589,5901477120077
1591,5901477105739
2330,5901477108594
1592,5901477105746
1594,5901477105753
1595,5901477118463
1596,5901477113604
1598,5901477113628
1602,5901477108044
1603,5901477108051
1606,5901477108082
1609,5901477108112
1610,5901477108129
1616,5901477108174
1617,5901477115929
1618,5901477114830
1619,5901477105296
1620,5901477105302
1621,5901477105319
1629,5901477105326
2596,5901477109898
1630,5901477105333
1631,5901477105340
1633,5901477105517
1635,5901477119712
1636,5901477119729
1637,5901477119736
1643,5901477107719
2597,5901477109904
1644,5901477107726
1645,5901477119361
1646,5901477119422
1647,5901477119385
1648,5901477119378
1649,5901477130885
1650,5901477130854
1651,5901477130861
1652,5901477130878
1653,5901477105524
1654,5901477105531
1655,5901477105548
2331,5901477108600
1656,5901477127410
1663,5901477119743
1664,5901477104343
1665,5901477104350
1666,5901477104367
1667,5901477104374
1668,5901477104381
1671,5901477105555
1672,5901477105562
1674,5901477107818
2332,5901477108617
1675,5901477107825
1676,5901477107832
1677,5901477107849
1678,5901477107856
1681,5901477119750
1682,5901477119767
1683,5901477119774
1684,5901477119941
1685,5901477119958
1686,5901477119965
3082,5901477133879
1687,5901477122934
1688,5901477122941
1689,5901477134432
1690,5901477133718
1691,5901477131653
1692,5901477122958
1693,5901477153914
1694,5901477133725
1695,5901477126529
1696,5901477126536
1697,5901477126543
1698,5901477126550
1699,5901477106422
1700,5901477106439
1701,5901477106453
1702,5901477106460
1703,5901477106446
1704,5901477106477
1705,5901477106484
1707,5901477106491
1708,5901477106507
1709,5901477106514
1711,5901477128202
1713,5901477135521
2333,5901477108624
1714,5901477135538
1715,5901477135545
1716,5901477135552
1717,5901477135637
2334,5901477108631
1718,5901477135569
1719,5901477135576
1720,5901477135583
1721,5901477135590
1722,5901477135606
1723,5901477135613
1724,5901477135620
1725,5901477120558
1726,5901477120565
1727,5901477114342
1728,5901477113161
1729,5901477113178
1730,5901477113185
1731,5901477123160
1732,5901477113086
1733,5901477115042
1734,5901477115059
2335,5901477108648
1735,5901477122880
1736,5901477123122
1748,5901477124914
1749,5901477124921
1751,5901477113246
1752,5901477113253
2598,5901477109911
1753,5901477113260
1754,5901477113277
1755,5901477113284
1756,5901477113291
1757,5903240385065
1758,5901477113314
1759,5901477113321
1760,5901477113383
1761,5901477113390
1762,5901477113338
1763,5901477124938
2336,5901477108655
1764,5901477113345
1765,5901477124945
1766,5901477113352
1767,5901477124952
1768,5901477113369
1769,5901477124969
1770,5901477117718
1779,5901477125782
1780,5901477120688
1781,5901477120695
1782,5901477120701
1783,5901477120589
1784,5901477120572
1785,5901477105647
1786,5901477110191
1787,5901477113062
1788,5901477113215
6851,5901477155642
1791,5901477115264
1792,5901477126185
1793,5901477115417
1794,5901477139383
1798,5901477117893
1799,5901477107023
1800,5901477107030
2599,5901477109928
1801,5901477107047
1802,5901477126208
1803,5901477126215
1804,5901477122583
1805,5901477126765
1807,5901477127878
1808,5901477129049
3083,5901477133886
1809,5901477106767
1811,5901477126994
1812,5901477123511
1819,5901477104398
2569,5901477108013
1821,5901477104404
1831,5901477128158
1832,5901477136399
1833,5901477106828
1834,5901477106835
6852,5901477155659
1836,5901477107085
1838,5901477107115
1839,5901477107122
1840,5901477107108
1841,5901477107092
2600,5901477109935
1843,5901477107146
1844,5901477107153
1845,5901477126253
1847,5901477170201
1848,5901477125997
2601,5901477109942
1849,5901477125454
1850,5901477125485
1851,5901477115769
1852,5901477116018
1853,5901477125478
1854,5901477107184
1856,5901477107207
1857,5901477107214
1858,5901477107221
1859,5901477107238
1860,5901477107245
1861,5901477129254
1862,5901477135507
1863,5901477107252
1864,5901477107269
1865,5901477128820
1866,5901477106996
6853,5901477155666
1868,5901477107009
1869,5901477128011
1870,5901477107016
1871,5901477107054
1872,5901477120640
1873,5901477135002
1874,5901477116032
1875,5901477139406
1876,5901477139413
1877,5901477106859
1878,5901477106866
1879,5901477127861
1880,5901477123115
1881,5901477106873
1882,5901477155048
2602,5901477109959
1884,5901477116094
1885,5901477106880
1886,5901477106897
1887,5901477106903
2603,5901477118401
1888,5901477135415
1889,5901477135422
1890,5901477135439
1891,5901477135446
1892,5901477106910
1894,5901477106934
1896,5901477106958
1899,5901477136443
1900,5901477106989
1901,5901477107177
1903,5901477116247
1905,5901477107498
1906,5901477107504
1907,5901477107511
1908,5901477119835
1909,5901477107528
1910,5901477107535
1911,5901477107542
1912,5901477107559
1913,5901477107566
1914,5901477152689
1917,5901477119842
1918,5901477119859
1919,5901477119866
1920,5901477119873
1921,5901477119880
1922,5901477119897
1923,5901477119903
1930,5901477131660
2604,5901477118418
1931,5901477116278
1932,5901477116285
1933,5901477116292
1934,5901477116384
1935,5901477105067
1936,5901477105074
1937,5901477105081
1938,5901477105098
1939,5901477113727
1940,5901477105104
1941,5901477105111
2605,5901477118425
1942,5901477116254
1943,5901477116261
1944,5901477116216
1945,5901477116223
1946,5901477116230
1947,5901477116377
1959,5901477113123
1960,5901477111792
1961,5901477114557
1962,5901477114571
1963,5901477107283
1964,5901477114564
1965,5901477127199
1966,5901477114823
6854,5901477155673
1967,5901477107290
1968,5901477107306
1971,5901477131561
1972,5901477119231
1974,5901477107337
1975,5901477111839
2606,5901477116681
1976,5901477114687
1977,5901477123474
1978,5901477124624
1979,5901477107344
1980,5901477114533
1981,5901477114540
3084,5901477133893
1982,5901477129926
1983,5901477107351
1984,5901477115974
1985,5901477124365
